,0
493,NIPPLE 1 CLOSE SC80 SC80
494,NIPPLE 1 X 6.50 SC80
495,NIPPLE 1 X 7.00 WS80
496,JOURNAL BEARING TRICO CRP
497,HHCS 1/2-13UNC-2A X 2.50 GR5
498,HHCS 5/8-11UNC-2A X 2.00 GR8
499,SQHSS 5/8-11 X 2.00
500,PLATE-FLEX 24/28 HI TEMP
501,GARTER SPRING 22-23
502,CARBON RING 23E
503,FLAT SPRING 3/32 X 5/8
504,Z BOLT TRIP 60T 3411-4300 REPL BY 03
505,SPRING COMP C-0600-045-1500S
506,COLLAR O/S SIGNAL GEAR RLHA
507,COLLAR O/S
508,ROUND STK 3.000 SST
509,"SENTINEL WARNING VALVE SST 5 PSIG  3/4"""
510,WDWD GOVERNOR TG17 CW 2401-4000
511,LAGGING BLANKET RH 24 6.0 INL
512,LAGGING BLANKET 6CVB
513,PRESSURE GAUGE 15HG-5PSI PSI/KG
514,PRESSURE GAUGE 45-110PSI PSI/KG
515,MAGNETIC SHAFT SEAL-ISOMAG
516,NAMEPLATE SS
517,OIL RING .312 X 5.500 OD
518,Assembly 00H6154
519,3PC A19 RH 202 4X8 150FF03 WLD HAND VLVS
520,CASING H19 RH 202 4CVB WLD HAND VLVS
521,CASING INL 19 WCB HV PLUGS WELDED
522,CASING-INL 19
523,STUD 5/8-11UNC-2A X 3.50LG B7
524,ROUND STK 0.625 STL
525,CASING-EXH RH 19
526,CSG EXH 19 RH HP2 WCB SA5059B
527,COVER 19 WCB
528,BEARING HOUSING ASSY 19 EXH AIR OML
529,CONN M SWG S-400-1-4BT
530,ROUND STK 0.250 CFS
531,BEARING HOUSING ASSY 19 INL AIR OML
532,MOUNTING HOUSING ASSY DD STD
533,SECTOR ASSY 19 .44 NOZ
534,BUCKET BRO .44 SPNC STA 403SSS
535,SHROUD BAND SECTOR SPNC HT
536,SECTOR BOLT HOLE MACH .44 NOZ
537,SECTOR RING .44 NOZ SPNC
538,ROTOR W19 CW .44NOZ SHP OMTR
539,SHAFT ASSY A19 C1144 OMTR
540,SHAFT A19 C1144 OMTR
541,ROUND STK 2.625 OMTR CDS // ***MUST BE PICKED FROM STOCKROOM***
542,WHEEL CW NOZ 7/16 BROACHED
543,WHEEL BLADING ROW 2 NOZ 7/16
544,BUCKET BRO.44 NOZ MUR/ROOT 2ND 403SST
545,SPACER BLADE SECTION 333 19 PITCH
546,WHEEL BLADING ROW 1 NOZ 7/16
547,SPACER L.H. 20  P.D.
548,BLADE
549,WHEEL MACHINING NOZ 7/16 BROACHED
550,WHEEL BLANK H19 STD. 4340 FORGED
551,"NOZZLE BLOCK 00H6153,54 A19 CW"
552,NOZZLE .437 NO 219 EXP 1.63
553,FLG CVR 22-23L/19 201-202 3-600#/8-150#
554,HHCS 3/4-10UNC-2A X 2.75 GR5
555,BLANK FLANGE DISC 3
556,GASKET FLG INL-EXH
557,SAND PROTECTION KIT MTG HSG RLH
558,BH SOC CS 10-24 X .25
559,WASH LOC INT 10 SS
560,BOOT SAND GUARD FRONT MTG HSG
561,GUARD SAND FRONT MTG HSG
562,GUARD SAND BACK MTG HSG
563,CVB3 A19-28 202 DD TG 3 PORT
564,VALVE CUP & STEM ASSY 14-28 3.0 SS
565,STEM CUP VALVE 0.44 2-3-4CVB
566,ROUND STK 0.437/0.436 CG  SST
567,VALVE CUP 3.00 CVB
568,VALVE CUP 3.0 CVB SST 440C PPCP #5237
569,LINKAGE RESET DUAL PICKUP RLHA
570,LEVER CLAPPER O/S COMBO III
571,LEVER SHAFT O/S COMBO III
572,LINKAGE RLH CVB3 DD TG13-17
573,LINKAGE STAND CVB 3.00
574,TRUNNION BLOCK RLH .44 DIA STEM
575,CONN ROD .31DIA-06.88
576,HHCS 7/8-9UNC-2A X 3.00 B7
577,SLEEVE SEAL CLAPPER
578,STUD 7/8-9UNC-2A X 4.75 LG B7
579,GASKET SPL WND R1-6J 601
580,THROTTLE VALVE BONNET CVB3
581,BONNET BLANK CVB3
582,SCREEN STRAINER 2.00 X 3.00
583,CUP VALVE CAGE 3 3PORT
584,CAGE CUP 3IN 3PT 8104408 CA15 RC 26-32
585,VALVE BODY CVB3 125AARH SERR
586,"BDY VLV COMBO 3"" WCB SA4426A"
587,CLAPPER DISC 3.00
588,DISC CLPPR 3CVB RLH   PPCP 5247
589,DISC PILOT CLPPR CA15 PPCP #5235
590,BOLT TRIP COLLAR ASSY 4301-5775 RPM
591,SPRING COMP C-0600-049-1500S
592,WDWD GOVERNOR TG13 CW 4001-6000
593,PEDESTAL MOUNTING W/JCKSCR  INT LUBE
594,PEDESTAL W/JACK SCREWS 1/2
595,Assembly 00H6168
596,MOUNTING HSG DD 2PU TOP/SIDE PROV SOL
597,MOUNTING HOUSING DUAL PICKUP
598,ROTOR W19 CCW .56N0Z  SHP 4140HT
599,SHAFT ASSY 19 4140 HT
600,SHAFT 4140
601,WHEEL CCW NOZ 9/16 BROACHED
602,WHEEL BLADING ROW 2 NOZ 9/16
603,BUCKET BRO.56 NOZ MUR/ROOT 2ND 403SST
604,WHEEL BLADING ROW 1 NOZ 9/16
605,SPACER R.H. 20  P.D.
606,BLADES
607,BLADE SECTION 324C
608,WHEEL MACHINING NOZ 9/16 BROACHED
609,NOZZLE BLOCK 00H6168 CCW  A19
610,NOZ NO-236 EXP-3.24
611,FLG COVER 22-23L/19 200 3-250#/8-150#
612,CVB 2X3 A19-28 200 DD TG 6PT
613,VALVE CUP & STEM ASSY 14-28 2.0 SS
